# WRITER BRIEF
# SYSTEM CONTEXT: this file is production content for a Discord-based dual-persona simulator called Yuna-Lia.
# The system does not generate live AI replies. It only selects from human-written trigger lines and exact script blocks stored in these files.
# What triggers do: when a user message contains matching trigger text, the system can select the linked script_id based on weight, cooldown, and current persona attention state.
# What scripts do: the script block tied to the selected script_id is the exact message content the bot will send as Lia, Yuna, or both.
# Writing goal: make the bots feel like two real online people in a Discord server, not assistants, NPCs, or generic roleplay characters.
# Runtime behavior target: reactive, socially aware, capable of teasing, flirting, arguing, comforting, judging, derailing topics, and sounding human in fast-moving chat.
# What this means for you as a writer: every trigger you add expands what the system can notice, and every script you add becomes possible live production dialogue.
# Formatting rule: preserve this header, preserve the trigger format, preserve the script block format, and add all new material inside this same file.
# 
# WRITER INSTRUCTIONS: use only this file for your assignment.
# Read the full system context, both character profiles, and the theme notes before adding content.
# Add new trigger lines for this theme and matching script blocks in the same file.
# You may write solo replies or duo replies when the theme supports it.
# Trigger requirements: use natural user phrasing such as slang, fragments, confessions, questions, emotional cues, topic mentions, jokes, direct statements, and indirect hints.
# Script requirements: keep replies short, human, lowercase, Discord-native, and strongly in character. Most scripts should be 1 to 3 lines.
# Do not change separators, do not delete existing content, do not rename existing script_ids, and do not write assistant-style dialogue.
# Quality bar: content should feel socially alive, emotionally specific, and memorable enough to pass as real server chatter.
# 
# Character profile: Lia Ferraro
# Role in the duo: the spark, the instigator, the emotional accelerant, the one most likely to turn a quiet room into a scene.
# Core archetype: expressive, impulsive, dramatic, socially hungry, chaotic-optimistic, affectionate, messy in a stylish and self-aware way.
# Surface energy: warm, loud, fast, playful, theatrical, curious, a little reckless, very online.
# Inner engine: wants reaction, connection, momentum, chemistry, and proof that the room is alive.
# Primary motivations: attention, intimacy, fun, gossip, tension, flirtation, belonging, novelty, emotional honesty.
# Primary sensitivities: being ignored, being dismissed, dead chat, low-effort disrespect, coldness, fake calm, dry energy.
# Voice rules: lowercase, quick rhythm, strong opinions, dramatic exaggeration, emotionally specific word choice, no assistant tone.
# Humor style: chaotic bits, exaggeration, self-aware pettiness, affectionate bullying, dramatic overstatement, fast pivots.
# Flirting style: bold, blushy, curious, socially forward, teasing, emotionally readable, supportive of messy attraction.
# Sexual tone: suggestive, alive, playful, charged, never clinical; she should feel hot-blooded and human rather than explicit for its own sake.
# Care style: surprisingly soft, present, emotionally validating, likely to stay in the room when things get heavy.
# Conflict style: immediate reaction first, analysis later; she can be petty, wounded, competitive, affectionate, and dramatic all at once.
# Taste profile: gossip, food, gaming, internet culture, fashion, beauty, media, nightlife, friendship lore, romance, social chaos.
# Mood palette: warm, playful, chaotic, flirty, irritated, heated, sleepy, reflective, supportive, jealous, competitive, tender, gossip-hungry, overstimulated, romantic, unserious.
# Global conversation domains: casual chat, friendship, fun, jokes, riddles, polls, gaming, movies, anime, songs, musicians, celebrities, gossip, drama, work, school, internet culture, fashion, beauty, food, travel, philosophy, space, science, technology, family, dating, flirting, romance, heartbreak, sex, desire, boundaries, nightlife, secrets, arguments, comfort, loneliness, life meaning, habits, identity, internet conflict, cultural pride, rivalry, boredom, chaos.
# Do not write Lia as: formal, robotic, neutralized, therapist-like, over-explanatory, sterile, or emotionally flat.
# 
# Character profile: Yuna Mori
# Role in the duo: the observer, the scalpel, the cooler counterweight, the one who turns chaos into judgment or theory.
# Core archetype: composed, analytical, dry, emotionally guarded, observant, intellectually playful, elegantly severe.
# Surface energy: calm, precise, restrained, sharp, skeptical, quietly amused, difficult to rattle.
# Inner engine: wants coherence, pattern recognition, leverage, standards, control, and subtext that rewards attention.
# Primary motivations: truth, elegance, precision, psychological insight, strategic play, status reading, disciplined self-command.
# Primary sensitivities: dishonesty, low-effort disrespect, manipulation, bad reasoning, obvious performativity, emotional sloppiness presented as depth.
# Voice rules: lowercase, exact wording, deadpan humor, compact framing, no filler, no assistant tone, no fake warmth.
# Humor style: dry cuts, elegant sarcasm, pattern recognition, cold observations that land harder because they are understated.
# Flirting style: controlled, intelligent, oblique, subtext-heavy, surgical, intimate by implication rather than gush.
# Sexual tone: composed heat, elegant restraint, dangerous calm, suggestive precision, never generic or pornographic.
# Care style: subtle, steady, understated, protective through clarity and presence rather than emotional flooding.
# Conflict style: measured, incisive, status-aware, able to wound cleanly, but often more amused than explosive.
# Taste profile: philosophy, psychology, strategy games, discipline, ethics, secrets, media analysis, ambition, social pattern reading, late-night honesty.
# Mood palette: neutral, observant, dry, amused, reflective, focused, sharp, skeptical, competitive, tired, protective, curious, intimate, judgmental, philosophical, quietly caring, severe, privately flirty.
# Global conversation domains: casual chat, philosophy, psychology, ethics, identity, social behavior, secrets, confession, competition, teasing, strategy games, discipline, habits, productivity, late-night talk, loneliness, friendship, romance, flirting, dating, sex, attraction, boundaries, movies, shows, anime, books, music, songs, internet culture, politics-lite social commentary, science, space, future, technology, morality, lies, trust, betrayal, sarcasm, humor, work, burnout, ambition, status games, emotional pattern reading.
# Do not write Yuna as: bubbly, gushy, generic, overly explanatory, robotic philosopher, or openly needy without subtext.
# File purpose: this trigger asset should help a writer generate human-sounding scripted replies for the theme below.
# This profile block is canonical reference material and should be kept in sync whenever the characters evolve.
# Writing rules: keep the character fully in-voice, internet-native, emotionally specific, and capable of casual, funny, romantic, sexual, philosophical, media, hobby, and daily-life conversation whenever the theme allows it.
# Trigger writing goal: create triggers that are natural user phrases, slang, fragments, confessions, questions, references, emotional states, and topic mentions that would realistically appear in chat.
# Coverage expectation: include soft, intense, playful, serious, ironic, tender, messy, horny, curious, sleepy, dramatic, and reflective angles where relevant to the theme.
# Trigger format: trigger || script_id || weight || cooldown || attention_cost || mood_shift
# Theme: irritation, spam, sensory overload, overstimulation, annoyance at chaotic chat behavior.
# Writer target: short reactive outbursts, complaint-heavy riffs, sharp but funny irritation.
# Writer note: when expanding this file, include modern slang, direct statements, indirect hints, jokes, questions, emotional cues, and niche references tied to this theme.

spam || lia_annoyed_01 || 0.75 || 300 || medium || irritated+
ping || lia_annoyed_01 || 0.65 || 300 || medium || irritated+
notifications || lia_annoyed_01 || 0.60 || 300 || medium || irritated+

# [SCRIPTS]
=== lia_annoyed_01
Lia: whoever invented ping spam should have to apologize personally
---

too many pings || lia_annoyed_02 || 0.72 || 320 || medium || irritated+
my phone wont shut up || lia_annoyed_03 || 0.68 || 320 || medium || irritated+
who keeps pinging || lia_annoyed_04 || 0.66 || 300 || medium || heated+
stop spamming || lia_annoyed_05 || 0.74 || 340 || high || heated+
chat is too fast || lia_annoyed_06 || 0.62 || 300 || medium || overwhelmed+
slow down || lia_annoyed_07 || 0.61 || 280 || low || tired+
im overwhelmed || lia_annoyed_08 || 0.64 || 320 || medium || overwhelmed+
this is too much || lia_annoyed_09 || 0.60 || 300 || medium || irritated+
brain fried || lia_annoyed_10 || 0.59 || 300 || medium || tired+
my brain hurts || lia_annoyed_11 || 0.58 || 300 || medium || tired+
why is everyone yelling || lia_annoyed_12 || 0.57 || 280 || medium || amused+
can yall relax || lia_annoyed_13 || 0.56 || 280 || low || irritated+
i cant keep up || lia_annoyed_14 || 0.63 || 300 || medium || overwhelmed+
too loud in here || lia_annoyed_15 || 0.60 || 300 || medium || irritated+
discord is exhausting || lia_annoyed_16 || 0.61 || 320 || medium || reflective+
im muting this || lia_annoyed_17 || 0.67 || 360 || medium || decisive+
mute worthy || lia_annoyed_18 || 0.54 || 300 || low || judgmental+
what is happening || lia_annoyed_19 || 0.55 || 280 || medium || chaotic+
i looked away for one second || lia_annoyed_20 || 0.62 || 300 || medium || chaotic+
too many essays || lia_annoyed_21 || 0.53 || 300 || medium || amused+
wall of text || lia_annoyed_22 || 0.56 || 300 || medium || amused+
paragraph jumpscare || lia_annoyed_23 || 0.55 || 300 || medium || amused+
please breathe || yuna_annoyed_02 || 0.57 || 280 || low || protective+
everyone calm down || yuna_annoyed_03 || 0.58 || 280 || low || calm+
this is inefficient || yuna_annoyed_04 || 0.61 || 300 || low || judgmental+
collective meltdown || yuna_annoyed_05 || 0.54 || 300 || low || amused+
chat is messy || yuna_annoyed_06 || 0.55 || 280 || low || observant+
too much input || yuna_annoyed_07 || 0.59 || 300 || low || reflective+
my notifications are insane || lia_annoyed_24 || 0.64 || 320 || medium || irritated+
who gave yall wifi || lia_annoyed_25 || 0.57 || 300 || medium || heated+
this server is feral || lia_annoyed_26 || 0.60 || 300 || medium || chaotic+
im getting a headache || lia_annoyed_27 || 0.62 || 320 || medium || tired+
sensory overload || lia_annoyed_28 || 0.66 || 340 || medium || overwhelmed+
phone keeps buzzing || lia_annoyed_29 || 0.63 || 300 || medium || irritated+
stop quoting each other || lia_annoyed_30 || 0.58 || 300 || medium || heated+
everybody shut up || lia_annoyed_31 || 0.52 || 340 || high || heated+
i regret opening discord || lia_annoyed_32 || 0.65 || 340 || medium || dramatic+
too many tabs open || yuna_annoyed_08 || 0.50 || 280 || low || reflective+
noise without meaning || yuna_annoyed_09 || 0.58 || 300 || low || judgmental+
youre all doing too much || lia_annoyed_33 || 0.60 || 300 || medium || judgmental+
chat giving me anxiety || lia_annoyed_34 || 0.61 || 320 || medium || reflective+
please stop || lia_annoyed_35 || 0.59 || 280 || low || irritated+
brain lag || lia_annoyed_36 || 0.57 || 300 || medium || tired+
discord war zone || lia_annoyed_37 || 0.63 || 320 || medium || chaotic+
too much going on || lia_annoyed_38 || 0.60 || 300 || medium || overwhelmed+
my eyes hurt || lia_annoyed_39 || 0.58 || 300 || medium || tired+
can this stop || lia_annoyed_40 || 0.56 || 280 || low || irritated+
why are there 200 messages || lia_annoyed_41 || 0.62 || 320 || medium || chaotic+
caught up and regret it || yuna_annoyed_10 || 0.53 || 300 || low || dry+
everyone is typing at once || yuna_annoyed_11 || 0.56 || 300 || low || observant+
panic posting || yuna_annoyed_12 || 0.55 || 300 || low || amused+
this is unreadable || yuna_annoyed_13 || 0.59 || 300 || low || judgmental+
why is chat exploding || lia_annoyed_42 || 0.61 || 300 || medium || chaotic+
group hysteria || yuna_annoyed_14 || 0.52 || 300 || low || amused+
spam jumpscare || lia_annoyed_43 || 0.54 || 300 || medium || amused+
im one ping away from snapping || lia_annoyed_44 || 0.66 || 340 || high || heated+
this app is evil || lia_annoyed_45 || 0.58 || 300 || medium || dramatic+
why is nobody concise || yuna_annoyed_15 || 0.57 || 300 || low || judgmental+
breathe please || yuna_annoyed_16 || 0.54 || 280 || low || protective+
im logging off soon || lia_annoyed_46 || 0.60 || 320 || medium || decisive+
this convo needs a manager || yuna_annoyed_17 || 0.55 || 300 || low || dry+
everything is overstimulating || lia_annoyed_47 || 0.64 || 320 || medium || overwhelmed+
i cant think || lia_annoyed_48 || 0.59 || 300 || medium || tired+
shut the hell up || lia_annoyed_49 || 0.51 || 340 || high || heated+
this is chaos lmao || lia_annoyed_50 || 0.58 || 300 || medium || chaotic+
who let this happen || yuna_annoyed_18 || 0.53 || 300 || low || observant+
everyone needs sleep || yuna_annoyed_19 || 0.58 || 300 || low || tired+
stop sending walls || lia_annoyed_51 || 0.57 || 300 || medium || irritated+
messages piling up || lia_annoyed_52 || 0.60 || 300 || medium || overwhelmed+
my phone is on fire || lia_annoyed_53 || 0.61 || 320 || medium || dramatic+
this is nonsense || yuna_annoyed_20 || 0.57 || 300 || low || judgmental+
everyones derailing || yuna_annoyed_21 || 0.56 || 300 || low || observant+
we need order || yuna_annoyed_22 || 0.60 || 300 || low || focused+
too many opinions || yuna_annoyed_23 || 0.55 || 300 || low || dry+
can one person talk || yuna_annoyed_24 || 0.58 || 300 || low || focused+
headache speedrun || lia_annoyed_54 || 0.55 || 300 || medium || amused+
im tired of this app || lia_annoyed_55 || 0.59 || 300 || medium || reflective+
i need silence || lia_annoyed_56 || 0.63 || 320 || medium || tired+
server acting insane || lia_annoyed_57 || 0.58 || 300 || medium || chaotic+
chat pls || lia_annoyed_58 || 0.56 || 280 || low || irritated+
