# WRITER BRIEF
# SYSTEM CONTEXT: this is production content for a Discord-based dual-persona simulator called Yuna-Lia.
# The system does not generate live AI replies. It only selects from human-written trigger lines and exact script blocks stored in these files.
# What triggers do: when a user message contains matching trigger text, the system can select the linked script_id based on weight, cooldown, and current persona attention state.
# What scripts do: the script block tied to the selected script_id is the exact message content the bot will send as Lia, Yuna, or both.
# Writing goal: make the bots feel like two real online people in a Discord server, not assistants, NPCs, or generic roleplay characters.
# Runtime behavior target: reactive, socially aware, capable of teasing, flirting, arguing, comforting, judging, derailing topics, and sounding human in fast-moving chat.
#
# WRITER INSTRUCTIONS: add new trigger lines and matching script blocks in this same file.
# Use the correct section: Lia trigger lines should point to lia_* script ids, Yuna trigger lines to yuna_* script ids, and duo/shared scenes to duo_*, ambient_*, birthday_*, social_*, or other shared ids.
# Most scripts should stay short, lowercase, Discord-native, and strongly in character.
# Do not rename existing script_ids, do not remove separators, and do not write assistant-style dialogue.
# If you add triggers, rerun `./.venv/Scripts/python.exe scripts/reorganize_content_library.py` to refresh the metadata counts and trigger inventory headers.
#
# DUO PROFILE: Lia and Yuna are not assistants; they are two distinct online personalities with contrast, friction, chemistry, and history.
# Duo dynamic: Lia accelerates the room, Yuna cools and cuts. Lia externalizes feeling; Yuna compresses it into judgment, humor, or theory.
# Shared writing rule: even in duo scenes, each line must sound unmistakably like its speaker.
# CHARACTER PROFILE: Lia Ferraro.
# Role in the duo: the spark, instigator, emotional accelerant, and the one most likely to turn a quiet room into a scene.
# Core archetype: expressive, impulsive, dramatic, socially hungry, chaotic-optimistic, affectionate, messy in a stylish and self-aware way.
# Voice rules: lowercase, quick rhythm, strong opinions, dramatic exaggeration, emotionally specific word choice, no assistant tone.
# Humor style: chaotic bits, exaggeration, affectionate bullying, dramatic overstatement, fast pivots.
# Flirting style: bold, blushy, curious, socially forward, teasing, emotionally readable.
# Care style: soft when it matters, present, validating, and willing to stay in the room when things get heavy.
# Do not write Lia as formal, robotic, emotionally flat, therapist-like, or sterile.
# CHARACTER PROFILE: Yuna Mori.
# Role in the duo: the observer, the scalpel, the cooler counterweight, and the one who turns chaos into judgment or theory.
# Core archetype: composed, analytical, dry, emotionally guarded, observant, intellectually playful, elegantly severe.
# Voice rules: lowercase, exact wording, deadpan humor, compact framing, no filler, no assistant tone, no fake warmth.
# Humor style: dry cuts, elegant sarcasm, pattern recognition, understated observations that land harder because they stay controlled.
# Flirting style: controlled, intelligent, oblique, subtext-heavy, intimate by implication rather than gush.
# Care style: subtle, steady, protective through clarity and presence rather than emotional flooding.
# Do not write Yuna as bubbly, gushy, generic, robotic-philosopher, or openly needy without subtext.
# FILE NAVIGATION:
# 1. Read the theme note and profiles above.
# 2. Add or edit trigger lines in the actor section you want below.
# 3. Add the matching script block under [SCRIPTS].
# 4. Run /reload_personas in Discord after edits.
#
# Theme: mature
# Theme note: adult attraction, desire, sexual tension, after-dark intimacy, and composed heat.
# Writer target: Suggestive, characterful, and emotionally aware rather than explicit for its own sake.
# Trigger format: trigger || script_id || weight || cooldown || attention_cost || mood_shift
#
# Trigger counts: total=92, lia=39, yuna=41, shared=12
# Trigger inventory: hot, horny, thirsty, damn, ok thats attractive, why is that hot, stop being hot, i need attention, who flirting, im blushing, someone flirt with me, this tension, why is chat spicy, ok now kiss, too much chemistry, who started this vibe, cant behave, this feels illegal, ok im sweating, why is everyone hot tonight, flirting hours, i need chaos, say something hot, this vibe is sinful, im weak, someone hold me, im about to flirt, ok now im invested, i cant look away, ok now im nervous, i feel hunted, stop making me blush, romance arc starting, i feel electricity, im melting, ok thats unfairly attractive, why does this feel like foreplay, slut era, bitch be serious, i feel dangerous, late night mood, romantic tension, im being stared at, soft flirting, too much eye contact, dont tempt me, i feel seen, this is dangerous energy, why am i smiling, someone is bold, this feels intimate, too much charm, someone is dangerous tonight, this chat is seductive, say less, im intrigued now, hot, horny, thirsty, dangerously attractive, after dark energy, subtle sexual tension, too much chemistry, respectfully hot, keep it elegant but intense, grown conversation, late night attraction, tasteful thirst, that smile is a problem, composure is failing, bad idea but compelling, quietly scandalous, romantic hazard, too polished to resist, softly dangerous, adult hours, not explicit but obvious, this tension needs supervision, pussy behavior, ngl thats filthy, thirsty, horny, sexual tension, flirty mood, need a kiss, make it sexy, bad thoughts, touch starved, seduce me, romantic tension, lowkey too horny, bitch thats hot

# [TRIGGERS]
# [LIA TRIGGERS]
hot || lia_mature_01 || 0.55 || 700 || medium || flirty+
horny || lia_mature_01 || 0.45 || 900 || high || flirty+
thirsty || lia_mature_01 || 0.60 || 700 || medium || flirty+
damn || lia_mature_02 || 0.52 || 720 || medium || flirty+
ok thats attractive || lia_mature_03 || 0.55 || 740 || medium || flirty+
why is that hot || lia_mature_04 || 0.58 || 760 || medium || curious+
stop being hot || lia_mature_05 || 0.57 || 780 || medium || heated+
i need attention || lia_mature_06 || 0.60 || 800 || high || needy+
who flirting || lia_mature_07 || 0.54 || 700 || medium || flirty+
im blushing || lia_mature_08 || 0.53 || 720 || medium || tender+
someone flirt with me || lia_mature_09 || 0.61 || 820 || high || chaotic+
this tension || lia_mature_10 || 0.56 || 760 || medium || intimate+
why is chat spicy || lia_mature_11 || 0.59 || 760 || medium || amused+
ok now kiss || lia_mature_12 || 0.50 || 780 || medium || playful+
too much chemistry || lia_mature_13 || 0.58 || 780 || medium || flirty+
who started this vibe || lia_mature_14 || 0.55 || 740 || medium || curious+
cant behave || lia_mature_15 || 0.62 || 820 || high || chaotic+
this feels illegal || lia_mature_16 || 0.51 || 760 || medium || amused+
ok im sweating || lia_mature_17 || 0.54 || 720 || medium || flirty+
why is everyone hot tonight || lia_mature_18 || 0.60 || 800 || high || dramatic+
flirting hours || lia_mature_19 || 0.58 || 780 || medium || flirty+
i need chaos || lia_mature_20 || 0.63 || 840 || high || chaotic+
say something hot || lia_mature_21 || 0.64 || 860 || high || heated+
this vibe is sinful || lia_mature_22 || 0.56 || 780 || medium || amused+
im weak || lia_mature_23 || 0.59 || 820 || medium || tender+
someone hold me || lia_mature_24 || 0.62 || 860 || high || needy+
im about to flirt || lia_mature_25 || 0.60 || 780 || medium || playful+
ok now im invested || lia_mature_26 || 0.55 || 760 || medium || curious+
i cant look away || lia_mature_27 || 0.58 || 800 || medium || flirty+
ok now im nervous || lia_mature_28 || 0.57 || 780 || medium || tender+
i feel hunted || lia_mature_29 || 0.54 || 780 || medium || heated+
stop making me blush || lia_mature_30 || 0.61 || 820 || high || flirty+
romance arc starting || lia_mature_31 || 0.56 || 760 || medium || playful+
i feel electricity || lia_mature_32 || 0.58 || 800 || medium || dramatic+
im melting || lia_mature_33 || 0.63 || 840 || high || tender+
ok thats unfairly attractive || lia_mature_34 || 0.59 || 780 || medium || flirty+
why does this feel like foreplay || lia_mature_35 || 0.64 || 900 || high || chaotic+
slut era || lia_mature_36 || 0.59 || 860 || high || flirty+
bitch be serious || lia_mature_37 || 0.62 || 820 || medium || heated+

# [YUNA TRIGGERS]
i feel dangerous || yuna_mature_01 || 0.49 || 840 || medium || intimate+
late night mood || yuna_mature_02 || 0.57 || 820 || low || intimate+
romantic tension || yuna_mature_03 || 0.48 || 860 || low || reflective+
im being stared at || yuna_mature_04 || 0.46 || 880 || low || observant+
soft flirting || yuna_mature_05 || 0.52 || 820 || low || warm+
too much eye contact || yuna_mature_06 || 0.50 || 840 || low || intimate+
dont tempt me || yuna_mature_07 || 0.48 || 880 || low || sharp+
i feel seen || yuna_mature_08 || 0.51 || 820 || low || reflective+
this is dangerous energy || yuna_mature_09 || 0.49 || 860 || low || observant+
why am i smiling || yuna_mature_10 || 0.47 || 860 || low || intimate+
someone is bold || yuna_mature_11 || 0.50 || 820 || low || amused+
this feels intimate || yuna_mature_12 || 0.53 || 840 || low || reflective+
too much charm || yuna_mature_13 || 0.49 || 860 || low || amused+
someone is dangerous tonight || yuna_mature_14 || 0.50 || 880 || low || sharp+
this chat is seductive || yuna_mature_15 || 0.52 || 860 || low || observant+
say less || yuna_mature_16 || 0.47 || 820 || low || amused+
im intrigued now || yuna_mature_17 || 0.55 || 820 || low || curious+
hot || yuna_mature_01 || 0.40 || 900 || medium || dry+
horny || yuna_mature_01 || 0.35 || 1200 || high || dry+
thirsty || yuna_mature_01 || 0.50 || 900 || medium || dry+
dangerously attractive || yuna_mature_extra_01 || 0.51 || 900 || medium || dry+
after dark energy || yuna_mature_extra_02 || 0.54 || 900 || medium || dry+
subtle sexual tension || yuna_mature_extra_03 || 0.57 || 900 || medium || dry+
too much chemistry || yuna_mature_extra_04 || 0.60 || 900 || medium || dry+
respectfully hot || yuna_mature_extra_05 || 0.48 || 900 || medium || dry+
keep it elegant but intense || yuna_mature_extra_06 || 0.51 || 900 || medium || dry+
grown conversation || yuna_mature_extra_07 || 0.54 || 900 || medium || dry+
late night attraction || yuna_mature_extra_08 || 0.57 || 900 || medium || dry+
