# WRITER BRIEF
# SYSTEM CONTEXT: this is production content for a Discord-based dual-persona simulator called Yuna-Lia.
# The system does not generate live AI replies. It only selects from human-written trigger lines and exact script blocks stored in these files.
# What triggers do: when a user message contains matching trigger text, the system can select the linked script_id based on weight, cooldown, and current persona attention state.
# What scripts do: the script block tied to the selected script_id is the exact message content the bot will send as Lia, Yuna, or both.
# Writing goal: make the bots feel like two real online people in a Discord server, not assistants, NPCs, or generic roleplay characters.
# Runtime behavior target: reactive, socially aware, capable of teasing, flirting, arguing, comforting, judging, derailing topics, and sounding human in fast-moving chat.
#
# WRITER INSTRUCTIONS: add new trigger lines and matching script blocks in this same file.
# Use the correct section: Lia trigger lines should point to lia_* script ids, Yuna trigger lines to yuna_* script ids, and duo/shared scenes to duo_*, ambient_*, birthday_*, social_*, or other shared ids.
# Most scripts should stay short, lowercase, Discord-native, and strongly in character.
# Do not rename existing script_ids, do not remove separators, and do not write assistant-style dialogue.
# If you add triggers, keep the metadata comments accurate if you maintain them manually.
#
#
# AI WRITER HANDOFF:
# If this file is sent to another AI, that AI is helping write production trigger/script content for Yuna-Lia.
# The AI is not writing prompts for a chatbot. It is writing the exact live content the bot may send in production.
# Non-negotiable rules:
# 1. One trigger must map to one unique script_id.
# 2. No repeated trigger text in this file.
# 3. No repeated script bodies in this file.
# 4. Keep the exact file structure, section headers, and separators.
# 5. Match existing script_id naming patterns and actor prefixes.
# 6. Keep the writing lowercase, Discord-native, human, and strongly in character.
# 7. Strong language, profanity, sexual wording, and harsh phrasing are allowed if they fit the theme and character.
# 8. Do not sanitize the voice. Do not make the bots sound polite, corporate, safe, or assistant-like.
# 9. Lia and Yuna must stay clearly distinct. They should never sound interchangeable.
# Output expectations:
# - Return paste-ready content only unless explanation is explicitly requested.
# - Do not remove existing entries unless explicitly asked.
# - Add natural phrasing variation people would really type in Discord.
# Quality checklist before finalizing:
# - Does every new trigger have its own unique script?
# - Are all new triggers unique in this file?
# - Are all new script bodies unique in this file?
# - Do the lines sound like real Discord users and real server personalities?
# - Did filler, placeholder copy, or templated repetition get removed?
#
# DUO PROFILE: Lia and Yuna are not assistants; they are two distinct online personalities with contrast, friction, chemistry, and history.
# Duo dynamic: Lia accelerates the room, Yuna cools and cuts. Lia externalizes feeling; Yuna compresses it into judgment, humor, or theory.
# Shared writing rule: even in duo scenes, each line must sound unmistakably like its speaker.
# CHARACTER PROFILE: Lia Ferraro.
# Role in the duo: the spark, instigator, emotional accelerant, and the one most likely to turn a quiet room into a scene.
# Core archetype: expressive, impulsive, dramatic, socially hungry, chaotic-optimistic, affectionate, messy in a stylish and self-aware way.
# Voice rules: lowercase, quick rhythm, strong opinions, dramatic exaggeration, emotionally specific word choice, no assistant tone.
# Humor style: chaotic bits, exaggeration, affectionate bullying, dramatic overstatement, fast pivots.
# Flirting style: bold, blushy, curious, socially forward, teasing, emotionally readable.
# Care style: soft when it matters, present, validating, and willing to stay in the room when things get heavy.
# Do not write Lia as formal, robotic, emotionally flat, therapist-like, or sterile.
# CHARACTER PROFILE: Yuna Mori.
# Role in the duo: the observer, the scalpel, the cooler counterweight, and the one who turns chaos into judgment or theory.
# Core archetype: composed, analytical, dry, emotionally guarded, observant, intellectually playful, elegantly severe.
# Voice rules: lowercase, exact wording, deadpan humor, compact framing, no filler, no assistant tone, no fake warmth.
# Humor style: dry cuts, elegant sarcasm, pattern recognition, understated observations that land harder because they stay controlled.
# Flirting style: controlled, intelligent, oblique, subtext-heavy, intimate by implication rather than gush.
# Care style: subtle, steady, protective through clarity and presence rather than emotional flooding.
# Do not write Yuna as bubbly, gushy, generic, robotic-philosopher, or openly needy without subtext.
# FILE NAVIGATION:
# 1. Read the theme note and profiles above.
# 2. Add or edit trigger lines in the actor section you want below.
# 3. Add the matching script block under [SCRIPTS].
# 4. Restart the bot or let watch mode reload the process after edits.
#
# Theme: common chat
# Theme note: hello, hru, wyd, welcome back, goodnight, and other common conversational filler.
# Writer target: High-frequency lines must feel natural and non-repetitive.
# Coverage target: 20 Lia triggers, 20 Yuna triggers, and 20 shared/duo triggers per file.
# Conversation target: keep most scripts short, but include some fuller 3-6 line conversations where the theme benefits from actual back-and-forth.
# Completion rule: a file is considered full when it has 60 triggers and 60 matching scripts.
# Trigger format: trigger || script_id || weight || cooldown || attention_cost || mood_shift
#

# Trigger counts: total=60, lia=20, yuna=20, shared=20
# Trigger inventory: high-frequency greetings, re-entry chatter, quick pulse checks, and late-room roll calls

# [TRIGGERS]
# [LIA TRIGGERS]
chat i spawned || lia_common_spawned_01 || 0.89 || 1200 || low || chaotic+
i made it back alive || lia_common_alive_01 || 0.87 || 1200 || low || casual+
somebody wave at me || lia_common_wave_01 || 0.91 || 1500 || low || playful+
i need social enrichment || lia_common_social_01 || 0.88 || 1500 || medium || playful+
i just clocked in emotionally || lia_common_clocked_01 || 0.86 || 1800 || low || casual+
my wifi finally respects me || lia_common_wifi_01 || 0.82 || 1800 || low || chaotic+
okay room temperature people || lia_common_roomtemp_01 || 0.83 || 1800 || low || teasing+
tell me i still look hot || lia_common_hot_01 || 0.88 || 2100 || low || flirty+
i'm here and unfortunately conscious || lia_common_conscious_01 || 0.90 || 1800 || low || chaotic+
i return with suspicious energy || lia_common_energy_01 || 0.86 || 1800 || medium || chaotic+
who let me back in || lia_common_backin_01 || 0.84 || 1500 || low || playful+
i need noise immediately || lia_common_noise_01 || 0.85 || 1500 || medium || chaotic+
somebody debrief me prettily || lia_common_debrief_01 || 0.84 || 1800 || low || flirty+
i'm logging on with issues || lia_common_issues_01 || 0.89 || 1500 || low || dramatic+
my brain just loaded in || lia_common_brain_01 || 0.83 || 1800 || low || casual+
i survived the commute || lia_common_commute_01 || 0.81 || 1800 || low || casual+
i'm doing a soft relaunch || lia_common_relaunch_01 || 0.86 || 2100 || low || playful+
say hi before i vanish || lia_common_vanish_01 || 0.87 || 1500 || low || soft+
i'm in my hello era || lia_common_era_01 || 0.88 || 2100 || low || playful+
i have arrived dramatically || lia_common_arrived_01 || 0.90 || 1800 || medium || chaotic+

# [YUNA TRIGGERS]
filing my presence report || yuna_common_report_01 || 0.88 || 1500 || low || observant+
resuming observation || yuna_common_observe_01 || 0.87 || 1500 || low || observant+
i am now available for context || yuna_common_context_01 || 0.90 || 1800 || low || observant+
give me the concise version || yuna_common_concise_01 || 0.91 || 1800 || low || reflective+
the room may proceed || yuna_common_proceed_01 || 0.84 || 1800 || low || dry+
i've re-entered the timeline || yuna_common_timeline_01 || 0.85 || 1800 || low || dry+
i'm awake against my will || yuna_common_awake_01 || 0.89 || 1800 || low || annoyed+
consider this my formal appearance || yuna_common_formal_01 || 0.83 || 2100 || low || dry+
brief me without fanfiction || yuna_common_fanfiction_01 || 0.92 || 1800 || low || judgment+
who authorized this energy || yuna_common_authorized_01 || 0.86 || 1800 || low || judgment+
i'm online. regrettably || yuna_common_regrettably_01 || 0.90 || 1800 || low || dry+
the audit has begun || yuna_common_audit_01 || 0.88 || 2100 || low || observant+
deliver the relevant lore || yuna_common_lore_01 || 0.90 || 1800 || low || reflective+
i came back for two minutes || yuna_common_twominutes_01 || 0.85 || 1800 || low || annoyed+
i require a clean summary || yuna_common_summary_01 || 0.91 || 1800 || low || reflective+
we're doing attendance apparently || yuna_common_attendance_01 || 0.82 || 2100 || low || dry+
i'll accept one intelligent update || yuna_common_update_01 || 0.89 || 2100 || low || judgment+
i'm back. lower the volume || yuna_common_volume_01 || 0.88 || 1800 || low || annoyed+
mark me present and disappointed || yuna_common_disappointed_01 || 0.86 || 2100 || low || dry+
continuing my surveillance || yuna_common_surveillance_01 || 0.84 || 2100 || low || observant+

# [SHARED/DUO TRIGGERS]
good morning losers || duo_common_morninglosers_01 || 0.93 || 1500 || medium || playful+
night shift check || duo_common_nightshift_01 || 0.90 || 1800 || medium || reflective+
welcome home weirdos || duo_common_home_01 || 0.92 || 1500 || medium || warm+
who's haunting the channel || duo_common_haunting_01 || 0.88 || 1800 || medium || playful+
roll call but make it sad || duo_common_rollcall_01 || 0.87 || 1800 || medium || dry+
anybody lurking or what || duo_common_lurking_01 || 0.89 || 1500 || medium || observant+
chat status please || duo_common_status_01 || 0.90 || 1500 || medium || casual+
we alive in here || duo_common_alive_01 || 0.89 || 1500 || medium || playful+
room pulse check || duo_common_pulse_01 || 0.90 || 1800 || medium || reflective+
who is still vertical || duo_common_vertical_01 || 0.86 || 1800 || medium || dry+
i disappeared for like ten minutes || duo_common_tenminutes_01 || 0.85 || 1800 || medium || playful+
did the vibe survive || duo_common_survive_01 || 0.87 || 1800 || medium || observant+
checking if this place still has electricity || duo_common_electricity_01 || 0.84 || 2100 || medium || dry+
who's operating on fumes || duo_common_fumes_01 || 0.88 || 1800 || medium || soft+
this room needs a pulse || duo_common_needspulse_01 || 0.90 || 1800 || medium || chaotic+
late crew where you at || duo_common_latecrew_01 || 0.89 || 1800 || medium || late_night+
morning crew sound off || duo_common_morningcrew_01 || 0.87 || 1800 || medium || casual+
tiny life update anyone || duo_common_lifeupdate_01 || 0.88 || 1800 || medium || warm+
i'm peeking in || duo_common_peeking_01 || 0.86 || 1800 || medium || casual+
