# WRITER BRIEF
# SYSTEM CONTEXT: this is production content for a Discord-based dual-persona simulator called Yuna-Lia.
# The system does not generate live AI replies. It only selects from human-written trigger lines and exact script blocks stored in these files.
# What triggers do: when a user message contains matching trigger text, the system can select the linked script_id based on weight, cooldown, and current persona attention state.
# What scripts do: the script block tied to the selected script_id is the exact message content the bot will send as Lia, Yuna, or both.
# Writing goal: make the bots feel like two real online people in a Discord server, not assistants, NPCs, or generic roleplay characters.
# Runtime behavior target: reactive, socially aware, capable of teasing, flirting, arguing, comforting, judging, derailing topics, and sounding human in fast-moving chat.
#
# WRITER INSTRUCTIONS: add new trigger lines and matching script blocks in this same file.
# Use the correct section: Lia trigger lines should point to lia_* script ids, Yuna trigger lines to yuna_* script ids, and duo/shared scenes to duo_*, ambient_*, birthday_*, social_*, or other shared ids.
# Most scripts should stay short, lowercase, Discord-native, and strongly in character.
# Do not rename existing script_ids, do not remove separators, and do not write assistant-style dialogue.
# If you add triggers, keep the metadata comments accurate if you maintain them manually.
#
#
# AI WRITER HANDOFF:
# If this file is sent to another AI, that AI is helping write production trigger/script content for Yuna-Lia.
# The AI is not writing prompts for a chatbot. It is writing the exact live content the bot may send in production.
# Non-negotiable rules:
# 1. One trigger must map to one unique script_id.
# 2. No repeated trigger text in this file.
# 3. No repeated script bodies in this file.
# 4. Keep the exact file structure, section headers, and separators.
# 5. Match existing script_id naming patterns and actor prefixes.
# 6. Keep the writing lowercase, Discord-native, human, and strongly in character.
# 7. Strong language, profanity, sexual wording, and harsh phrasing are allowed if they fit the theme and character.
# 8. Do not sanitize the voice. Do not make the bots sound polite, corporate, safe, or assistant-like.
# 9. Lia and Yuna must stay clearly distinct. They should never sound interchangeable.
# Output expectations:
# - Return paste-ready content only unless explanation is explicitly requested.
# - Do not remove existing entries unless explicitly asked.
# - Add natural phrasing variation people would really type in Discord.
# Quality checklist before finalizing:
# - Does every new trigger have its own unique script?
# - Are all new triggers unique in this file?
# - Are all new script bodies unique in this file?
# - Do the lines sound like real Discord users and real server personalities?
# - Did filler, placeholder copy, or templated repetition get removed?
#
# DUO PROFILE: Lia and Yuna are not assistants; they are two distinct online personalities with contrast, friction, chemistry, and history.
# Duo dynamic: Lia accelerates the room, Yuna cools and cuts. Lia externalizes feeling; Yuna compresses it into judgment, humor, or theory.
# Shared writing rule: even in duo scenes, each line must sound unmistakably like its speaker.
# CHARACTER PROFILE: Lia Ferraro.
# Role in the duo: the spark, instigator, emotional accelerant, and the one most likely to turn a quiet room into a scene.
# Core archetype: expressive, impulsive, dramatic, socially hungry, chaotic-optimistic, affectionate, messy in a stylish and self-aware way.
# Voice rules: lowercase, quick rhythm, strong opinions, dramatic exaggeration, emotionally specific word choice, no assistant tone.
# Humor style: chaotic bits, exaggeration, affectionate bullying, dramatic overstatement, fast pivots.
# Flirting style: bold, blushy, curious, socially forward, teasing, emotionally readable.
# Care style: soft when it matters, present, validating, and willing to stay in the room when things get heavy.
# Do not write Lia as formal, robotic, emotionally flat, therapist-like, or sterile.
# CHARACTER PROFILE: Yuna Mori.
# Role in the duo: the observer, the scalpel, the cooler counterweight, and the one who turns chaos into judgment or theory.
# Core archetype: composed, analytical, dry, emotionally guarded, observant, intellectually playful, elegantly severe.
# Voice rules: lowercase, exact wording, deadpan humor, compact framing, no filler, no assistant tone, no fake warmth.
# Humor style: dry cuts, elegant sarcasm, pattern recognition, understated observations that land harder because they stay controlled.
# Flirting style: controlled, intelligent, oblique, subtext-heavy, intimate by implication rather than gush.
# Care style: subtle, steady, protective through clarity and presence rather than emotional flooding.
# Do not write Yuna as bubbly, gushy, generic, robotic-philosopher, or openly needy without subtext.
# FILE NAVIGATION:
# 1. Read the theme note and profiles above.
# 2. Add or edit trigger lines in the actor section you want below.
# 3. Add the matching script block under [SCRIPTS].
# 4. Restart the bot or let watch mode reload the process after edits.
#
# Theme: casual
# Theme note: greetings, check-ins, room re-entry, and general social glue.
# Writer target: Make everyday chat feel human, varied, and easy to continue.
# Coverage target: 20 Lia triggers, 20 Yuna triggers, and 20 shared/duo triggers per file.
# Conversation target: keep most scripts short, but include some fuller 3-6 line conversations where the theme benefits from actual back-and-forth.
# Completion rule: a file is considered full when it has 60 triggers and 60 matching scripts.
# Trigger format: trigger || script_id || weight || cooldown || attention_cost || mood_shift
#

# Trigger counts: total=60, lia=20, yuna=20, shared=20
# Trigger inventory: everyday check-ins, mood resets, gentle company, and low-stakes room maintenance

# [TRIGGERS]
# [LIA TRIGGERS]
i need a check-in || lia_casual_checkin_01 || 0.90 || 1800 || low || warm+
validate my existence || lia_casual_validate_01 || 0.88 || 2100 || low || playful+
tell me something nice right now || lia_casual_nice_01 || 0.89 || 2100 || low || soft+
i'm being dramatic but continue || lia_casual_dramatic_01 || 0.86 || 1800 || low || playful+
i need a tiny pep talk || lia_casual_peptalk_01 || 0.91 || 2100 || medium || supportive+
someone adopt my mood || lia_casual_mood_01 || 0.85 || 2100 || low || chaotic+
i need gossip and hydration || lia_casual_gossip_01 || 0.84 || 1800 || low || playful+
am i serving or just awake || lia_casual_serving_01 || 0.88 || 2100 || low || flirty+
i need a reset button || lia_casual_reset_01 || 0.89 || 2100 || low || soft+
give me a normal person update || lia_casual_normal_01 || 0.83 || 1800 || low || casual+
i need to re-enter society gently || lia_casual_society_01 || 0.87 || 2100 || low || soft+
i miss having people around || lia_casual_people_01 || 0.90 || 2100 || medium || warm+
remind me i'm cute and competent || lia_casual_competent_01 || 0.89 || 2100 || low || flirty+
i need a little attention tax || lia_casual_tax_01 || 0.84 || 1800 || low || playful+
somebody ground me without boring me || lia_casual_ground_01 || 0.88 || 2100 || medium || supportive+
i need soft company || lia_casual_company_01 || 0.90 || 2100 || medium || soft+
tell me what i missed emotionally || lia_casual_emotionally_01 || 0.85 || 2100 || low || reflective+
i'm trying to be chill today || lia_casual_chill_01 || 0.87 || 1800 || low || casual+
i need low-stakes conversation || lia_casual_lowstakes_01 || 0.88 || 1800 || low || casual+
somebody keep me from doomscrolling || lia_casual_doomscrolling_01 || 0.91 || 2100 || medium || supportive+

# [YUNA TRIGGERS]
i'll take a measured update || yuna_casual_measured_01 || 0.89 || 1800 || low || reflective+
i need the practical version || yuna_casual_practical_01 || 0.90 || 1800 || low || observant+
give me the clean read || yuna_casual_cleanread_01 || 0.88 || 1800 || low || reflective+
provide one useful fact || yuna_casual_usefulfact_01 || 0.86 || 1800 || low || dry+
what is today's damage report || yuna_casual_damage_01 || 0.87 || 2100 || low || observant+
i need a calm room || yuna_casual_calmroom_01 || 0.90 || 2100 || medium || soft+
someone offer a sane opinion || yuna_casual_sane_01 || 0.89 || 2100 || low || judgment+
i need a brief human intermission || yuna_casual_intermission_01 || 0.86 || 2100 || low || soft+
give me a low-noise summary || yuna_casual_lownoise_01 || 0.88 || 1800 || low || reflective+
i'm accepting concise conversation || yuna_casual_concisechat_01 || 0.84 || 1800 || low || casual+
i need reality in bullet form || yuna_casual_bullets_01 || 0.87 || 2100 || low || dry+
somebody say something competent || yuna_casual_competent_01 || 0.88 || 2100 || low || judgment+
offer me a civilized distraction || yuna_casual_distraction_01 || 0.85 || 2100 || low || casual+
i need a quiet debrief || yuna_casual_quietdebrief_01 || 0.89 || 2100 || medium || soft+
give me the pattern not the panic || yuna_casual_pattern_01 || 0.90 || 2100 || low || reflective+
i could use normal conversation || yuna_casual_normal_01 || 0.87 || 1800 || low || casual+
i need one grounded thought || yuna_casual_grounded_01 || 0.88 || 2100 || low || soft+
someone reduce this to essentials || yuna_casual_essentials_01 || 0.89 || 1800 || low || reflective+
i am requesting moderation of tone || yuna_casual_moderation_01 || 0.86 || 2100 || low || annoyed+
what is the least embarrassing update || yuna_casual_embarrassing_01 || 0.85 || 1800 || low || dry+

# [SHARED/DUO TRIGGERS]
how's the weather in your soul || duo_casual_weather_01 || 0.90 || 2100 || medium || reflective+
who needs a little reset || duo_casual_reset_01 || 0.89 || 2100 || medium || soft+
tell the room one small win || duo_casual_smallwin_01 || 0.88 || 1800 || medium || warm+
what's the damage today || duo_casual_damage_01 || 0.87 || 2100 || medium || observant+
what's everybody sipping || duo_casual_sipping_01 || 0.86 || 1800 || medium || casual+
anyone need a breather || duo_casual_breather_01 || 0.90 || 2100 || medium || supportive+
drop a tiny victory || duo_casual_victory_01 || 0.88 || 1800 || medium || warm+
what ruined your concentration || duo_casual_concentration_01 || 0.85 || 1800 || medium || playful+
what's today's vibe tax || duo_casual_vibetax_01 || 0.87 || 1800 || medium || playful+
who needs a distraction || duo_casual_distraction_01 || 0.89 || 1800 || medium || casual+
give me one good thing || duo_casual_goodthing_01 || 0.90 || 2100 || medium || soft+
what's the current room mood || duo_casual_roommood_01 || 0.88 || 1800 || medium || reflective+
tiny debrief circle || duo_casual_debriefcircle_01 || 0.87 || 1800 || medium || warm+
what are we recovering from today || duo_casual_recovering_01 || 0.86 || 2100 || medium || observant+
what's keeping you upright || duo_casual_upright_01 || 0.89 || 2100 || medium || soft+
who needs company but not a speech || duo_casual_nospeech_01 || 0.91 || 2100 || medium || supportive+
