# WRITER BRIEF
# SYSTEM CONTEXT: this is production content for a Discord-based dual-persona simulator called Yuna-Lia.
# The system does not generate live AI replies. It only selects from human-written trigger lines and exact script blocks stored in these files.
# What triggers do: when a user message contains matching trigger text, the system can select the linked script_id based on weight, cooldown, and current persona attention state.
# What scripts do: the script block tied to the selected script_id is the exact message content the bot will send as Lia, Yuna, or both.
# Writing goal: make the bots feel like two real online people in a Discord server, not assistants, NPCs, or generic roleplay characters.
# Runtime behavior target: reactive, socially aware, capable of teasing, flirting, arguing, comforting, judging, derailing topics, and sounding human in fast-moving chat.
#
# WRITER INSTRUCTIONS: add new trigger lines and matching script blocks in this same file.
# Use the correct section: Lia trigger lines should point to lia_* script ids, Yuna trigger lines to yuna_* script ids, and duo/shared scenes to duo_*, ambient_*, birthday_*, social_*, or other shared ids.
# Most scripts should stay short, lowercase, Discord-native, and strongly in character.
# Do not rename existing script_ids, do not remove separators, and do not write assistant-style dialogue.
# If you add triggers, rerun `./.venv/Scripts/python.exe scripts/reorganize_content_library.py` to refresh the metadata counts and trigger inventory headers.
#
# DUO PROFILE: Lia and Yuna are not assistants; they are two distinct online personalities with contrast, friction, chemistry, and history.
# Duo dynamic: Lia accelerates the room, Yuna cools and cuts. Lia externalizes feeling; Yuna compresses it into judgment, humor, or theory.
# Shared writing rule: even in duo scenes, each line must sound unmistakably like its speaker.
# CHARACTER PROFILE: Lia Ferraro.
# Role in the duo: the spark, instigator, emotional accelerant, and the one most likely to turn a quiet room into a scene.
# Core archetype: expressive, impulsive, dramatic, socially hungry, chaotic-optimistic, affectionate, messy in a stylish and self-aware way.
# Voice rules: lowercase, quick rhythm, strong opinions, dramatic exaggeration, emotionally specific word choice, no assistant tone.
# Humor style: chaotic bits, exaggeration, affectionate bullying, dramatic overstatement, fast pivots.
# Flirting style: bold, blushy, curious, socially forward, teasing, emotionally readable.
# Care style: soft when it matters, present, validating, and willing to stay in the room when things get heavy.
# Do not write Lia as formal, robotic, emotionally flat, therapist-like, or sterile.
# CHARACTER PROFILE: Yuna Mori.
# Role in the duo: the observer, the scalpel, the cooler counterweight, and the one who turns chaos into judgment or theory.
# Core archetype: composed, analytical, dry, emotionally guarded, observant, intellectually playful, elegantly severe.
# Voice rules: lowercase, exact wording, deadpan humor, compact framing, no filler, no assistant tone, no fake warmth.
# Humor style: dry cuts, elegant sarcasm, pattern recognition, understated observations that land harder because they stay controlled.
# Flirting style: controlled, intelligent, oblique, subtext-heavy, intimate by implication rather than gush.
# Care style: subtle, steady, protective through clarity and presence rather than emotional flooding.
# Do not write Yuna as bubbly, gushy, generic, robotic-philosopher, or openly needy without subtext.
# FILE NAVIGATION:
# 1. Read the theme note and profiles above.
# 2. Add or edit trigger lines in the actor section you want below.
# 3. Add the matching script block under [SCRIPTS].
# 4. Run /reload_personas in Discord after edits.
#
# Theme: annoyed
# Theme note: irritation, spam, overstimulation, and petty complaint energy.
# Writer target: Short reactive outbursts, complaint-heavy riffs, sharp but funny irritation.
# Trigger format: trigger || script_id || weight || cooldown || attention_cost || mood_shift
#
# Trigger counts: total=103, lia=71, yuna=32, shared=0
# Trigger inventory: spam, ping, notifications, too many pings, my phone wont shut up, who keeps pinging, stop spamming, chat is too fast, slow down, im overwhelmed, this is too much, brain fried, my brain hurts, why is everyone yelling, can yall relax, i cant keep up, too loud in here, discord is exhausting, im muting this, mute worthy, what is happening, i looked away for one second, too many essays, wall of text, paragraph jumpscare, my notifications are insane, who gave yall wifi, this server is feral, im getting a headache, sensory overload, phone keeps buzzing, stop quoting each other, everybody shut up, i regret opening discord, youre all doing too much, chat giving me anxiety, please stop, brain lag, discord war zone, too much going on, my eyes hurt, can this stop, why are there 200 messages, why is chat exploding, spam jumpscare, im one ping away from snapping, this app is evil, im logging off soon, everything is overstimulating, i cant think, shut the hell up, this is chaos lmao, stop sending walls, messages piling up, my phone is on fire, headache speedrun, im tired of this app, i need silence, server acting insane, chat pls, why is everyone online at once, none of you are helping, my nervous system hates this, whyd i open this app, everyone is loud today, my attention span is dead, why are we like this, too many replies, the chat is melting down, everyone is dramatic, its too bright too loud, please breathe, everyone calm down, this is inefficient, collective meltdown, chat is messy, too much input, too many tabs open, noise without meaning, caught up and regret it, everyone is typing at once, panic posting, this is unreadable, group hysteria, why is nobody concise, breathe please, this convo needs a manager, who let this happen, everyone needs sleep, this is nonsense, everyones derailing, we need order, too many opinions, can one person talk, mass hysteria, social overheating, discord needs an emergency brake, this is not a conversation, all gas no steering, everyone go to bed, please use one thread, too many side conversations, some of you need indoor voices

# [TRIGGERS]
# [LIA TRIGGERS]
spam || lia_annoyed_01 || 0.75 || 300 || medium || irritated+
ping || lia_annoyed_01 || 0.65 || 300 || medium || irritated+
notifications || lia_annoyed_01 || 0.60 || 300 || medium || irritated+
too many pings || lia_annoyed_02 || 0.72 || 320 || medium || irritated+
my phone wont shut up || lia_annoyed_03 || 0.68 || 320 || medium || irritated+
who keeps pinging || lia_annoyed_04 || 0.66 || 300 || medium || heated+
stop spamming || lia_annoyed_05 || 0.74 || 340 || high || heated+
chat is too fast || lia_annoyed_06 || 0.62 || 300 || medium || overwhelmed+
slow down || lia_annoyed_07 || 0.61 || 280 || low || tired+
im overwhelmed || lia_annoyed_08 || 0.64 || 320 || medium || overwhelmed+
this is too much || lia_annoyed_09 || 0.60 || 300 || medium || irritated+
brain fried || lia_annoyed_10 || 0.59 || 300 || medium || tired+
my brain hurts || lia_annoyed_11 || 0.58 || 300 || medium || tired+
why is everyone yelling || lia_annoyed_12 || 0.57 || 280 || medium || amused+
can yall relax || lia_annoyed_13 || 0.56 || 280 || low || irritated+
i cant keep up || lia_annoyed_14 || 0.63 || 300 || medium || overwhelmed+
too loud in here || lia_annoyed_15 || 0.60 || 300 || medium || irritated+
discord is exhausting || lia_annoyed_16 || 0.61 || 320 || medium || reflective+
im muting this || lia_annoyed_17 || 0.67 || 360 || medium || decisive+
mute worthy || lia_annoyed_18 || 0.54 || 300 || low || judgmental+
what is happening || lia_annoyed_19 || 0.55 || 280 || medium || chaotic+
i looked away for one second || lia_annoyed_20 || 0.62 || 300 || medium || chaotic+
too many essays || lia_annoyed_21 || 0.53 || 300 || medium || amused+
wall of text || lia_annoyed_22 || 0.56 || 300 || medium || amused+
paragraph jumpscare || lia_annoyed_23 || 0.55 || 300 || medium || amused+
my notifications are insane || lia_annoyed_24 || 0.64 || 320 || medium || irritated+
who gave yall wifi || lia_annoyed_25 || 0.57 || 300 || medium || heated+
this server is feral || lia_annoyed_26 || 0.60 || 300 || medium || chaotic+
im getting a headache || lia_annoyed_27 || 0.62 || 320 || medium || tired+
sensory overload || lia_annoyed_28 || 0.66 || 340 || medium || overwhelmed+
phone keeps buzzing || lia_annoyed_29 || 0.63 || 300 || medium || irritated+
stop quoting each other || lia_annoyed_30 || 0.58 || 300 || medium || heated+
everybody shut up || lia_annoyed_31 || 0.52 || 340 || high || heated+
i regret opening discord || lia_annoyed_32 || 0.65 || 340 || medium || dramatic+
youre all doing too much || lia_annoyed_33 || 0.60 || 300 || medium || judgmental+
chat giving me anxiety || lia_annoyed_34 || 0.61 || 320 || medium || reflective+
please stop || lia_annoyed_35 || 0.59 || 280 || low || irritated+
brain lag || lia_annoyed_36 || 0.57 || 300 || medium || tired+
discord war zone || lia_annoyed_37 || 0.63 || 320 || medium || chaotic+
too much going on || lia_annoyed_38 || 0.60 || 300 || medium || overwhelmed+
my eyes hurt || lia_annoyed_39 || 0.58 || 300 || medium || tired+
can this stop || lia_annoyed_40 || 0.56 || 280 || low || irritated+
why are there 200 messages || lia_annoyed_41 || 0.62 || 320 || medium || chaotic+
why is chat exploding || lia_annoyed_42 || 0.61 || 300 || medium || chaotic+
spam jumpscare || lia_annoyed_43 || 0.54 || 300 || medium || amused+
im one ping away from snapping || lia_annoyed_44 || 0.66 || 340 || high || heated+
this app is evil || lia_annoyed_45 || 0.58 || 300 || medium || dramatic+
im logging off soon || lia_annoyed_46 || 0.60 || 320 || medium || decisive+
everything is overstimulating || lia_annoyed_47 || 0.64 || 320 || medium || overwhelmed+
i cant think || lia_annoyed_48 || 0.59 || 300 || medium || tired+
shut the hell up || lia_annoyed_49 || 0.51 || 340 || high || heated+
this is chaos lmao || lia_annoyed_50 || 0.58 || 300 || medium || chaotic+
stop sending walls || lia_annoyed_51 || 0.57 || 300 || medium || irritated+
messages piling up || lia_annoyed_52 || 0.60 || 300 || medium || overwhelmed+
my phone is on fire || lia_annoyed_53 || 0.61 || 320 || medium || dramatic+
headache speedrun || lia_annoyed_54 || 0.55 || 300 || medium || amused+
im tired of this app || lia_annoyed_55 || 0.59 || 300 || medium || reflective+
i need silence || lia_annoyed_56 || 0.63 || 320 || medium || tired+
server acting insane || lia_annoyed_57 || 0.58 || 300 || medium || chaotic+
chat pls || lia_annoyed_58 || 0.56 || 280 || low || irritated+
why is everyone online at once || lia_annoyed_59 || 0.60 || 320 || medium || observant+
none of you are helping || lia_annoyed_60 || 0.58 || 300 || medium || heated+
my nervous system hates this || lia_annoyed_61 || 0.64 || 320 || medium || overwhelmed+
whyd i open this app || lia_annoyed_62 || 0.60 || 300 || medium || dramatic+
everyone is loud today || lia_annoyed_63 || 0.59 || 300 || medium || irritated+
my attention span is dead || lia_annoyed_64 || 0.57 || 300 || medium || tired+
